vehicle_id,person_id,vin,make,model,model_year,body_style,risk_rating,lob_type,garaging_state,garaging_postal_code
e48f12b9-6a5d-670a-f9a3-638e5b08acc2,3cf3bd58-da60-fb1c-eb7a-79959588532d,V9YDJTJ9WE0TC3P6D,Subaru,Forester,2010,Truck,High,Commercial,CA,94839
6e887807-5043-796d-4061-88231b393204,57810ce8-98f0-1733-d942-b204a30354ef,BEPR137NXF4RSU138,Honda,Civic,2017,SUV,Low,Personal,NV,89037
3a5f9ccd-ad9a-6f2d-2e3d-6a6340ed367e,bb9d2ebe-f476-092f-40fc-275e69b5220d,1K6X8F02ND2UY5W6H,Ford,Escape,2024,SUV,Medium,Commercial,AZ,85282
a7e567e3-87ed-23b1-fe5d-d6f65d04c969,d04883eb-7464-5968-fac1-9bd781637187,Z0JK1B8H7PZAXXN7F,Ford,Maverick,2022,Sedan,Low,Personal,NV,88924
f6b8f116-cc81-737b-5b0f-56452c0188bb,5fdd3a16-8a61-89a7-936c-d61319c06515,GCRGLHM1VWR06LXBL,Toyota,Camry,2022,Sedan,Medium,Personal,AZ,85277
e7c228f1-6a13-ffc1-819a-4670fb12493a,9e1e266c-642b-5dfc-4f2d-1caeed61ef1f,WP85U6XXEKWNLRFYN,Honda,CR-V,2019,SUV,Low,Personal,AZ,85136
30e7099c-4e16-b9b1-da50-c324af85f504,62de90a9-2d55-e081-b4ba-fea885eb78cd,WF8X9MDV5XGLBJSDY,Subaru,Forester,2017,Truck,High,Commercial,CA,94709
0a039c7b-f4d6-e10a-e7c8-ef898dde98ea,89ede605-b975-4749-d45b-52d17b3c4b07,C8LVB3RMS491X9S5Z,Subaru,Outback,2018,SUV,Medium,Personal,CA,94880
cab9424f-6ce9-f461-4c91-e3aa88d0ba54,04bcd9ce-2f9a-dc07-eebf-1d7dba72e694,17LUNWK7EPSYWM502,Honda,CR-V,2024,Sedan,Medium,Personal,OR,97290
40df6beb-6599-272c-ef1c-14ee0d30dbd6,67afd069-f095-1fd2-8fcd-d013edc4e3ab,FPXTM1VZZG9VM3G4S,Subaru,Forester,2009,Truck,Medium,Commercial,CA,94601
e8a5c06c-26e0-e6e1-8fdf-e26773cc0f7a,af4ea88f-e75f-9338-99e8-b6130fee94e4,JGXX7UZ3SXD5SNVCU,Chevrolet,Equinox,2012,Sedan,Medium,Personal,AZ,85128
e856c2b7-a19b-f2d0-80c4-6c295def61d8,631996d9-4431-9a55-e426-ef39af2b8395,2WMUX76GDRBGXNZXE,Toyota,Prius,2020,Sedan,Medium,Personal,OR,97223
829965db-72b5-f747-6170-98e1b3a89e7e,e277543b-1788-e7b0-cb29-05bd52055596,BH6WN5NUGL1Y79J1M,Honda,Accord,2015,Sedan,Low,Personal,AZ,85039
14886912-f795-ded4-8c15-f17036aab32a,1ed93c23-6aac-03dd-5d94-6c722dbd56bf,SZZCVJ852DXBNU346,Toyota,Prius,2010,SUV,Medium,Personal,AZ,85216
4b7debac-8aac-608e-90bd-1413ac92a5ea,23549e0e-a2a9-e13e-f854-90da01ac622f,VR0KVB1JXSB12WHSC,Toyota,RAV4,2017,SUV,Low,Personal,WA,98482
b91ea05d-e43a-e0c9-680e-d70df4db30c2,dc917d96-04da-15ec-4dd7-4bb35c640d88,GA60V0SJBUXM74EWK,Toyota,RAV4,2014,Truck,Medium,Commercial,NV,88939
67e200d9-66f3-381b-f88a-caaa958813a9,fe23a0d2-276e-fa3e-56ab-511ad10b2f51,8KFJHC9C112WEZ4MY,Toyota,RAV4,2020,SUV,High,Commercial,CA,94608
0f86403d-7711-55be-a677-a03757385be4,7b6d2d12-c7d2-805d-a831-013a1dfb0871,ZJZW1ZLA9D89Z9R0X,Honda,Accord,2013,Sedan,Medium,Personal,AZ,85017
9dbea1b0-62bf-1b92-f0b0-3864fe9f98b8,6e0b7b18-226b-23d0-6813-d4aab701893d,2LZY2E312U54P450H,Toyota,RAV4,2013,SUV,Low,Personal,OR,97166
a6c0bdf4-1de9-27a2-f65b-7d1259a10b4f,e6cf1f33-99e7-726f-bea4-5f87adfb54a1,DF9UEAE1L15ZKSZYV,Ford,Maverick,2024,SUV,Medium,Commercial,WA,98382
21ca435b-e4ba-9ab6-a1eb-b10b3a970329,069bf4e7-4e63-b03c-fc74-03cc1e199976,1CY2FKTLU1AVK0A7K,Ford,Focus,2018,SUV,Medium,Commercial,OR,97569
58660ac2-8ce4-342f-8847-a858f0272f88,b6f307fe-eecd-485d-26a7-407053f5ea5d,1HJB4ZA2HM42U80BY,Honda,Civic,2010,SUV,Low,Personal,AZ,85158
20ea09b2-940b-2369-3831-fe7b06e1b379,43ae1b41-2995-910f-0dee-ae30cd4143dd,BX2XWWV029PUBRK3M,Honda,Civic,2020,Sedan,Medium,Personal,CA,94630
58dc673d-4441-67f4-19e7-6c92c3ae0851,b76aa11d-b9ab-c927-86e6-e3ce3e09f38d,9GGNZ4VBM917KJUEG,Honda,Accord,2023,Sedan,Low,Personal,WA,98007
e191e653-6a20-cff7-a253-910d7791b321,14063e78-b8bf-0041-3cf3-f5d701eee721,WMAP035W6AYUYM85R,Honda,Civic,2009,Sedan,Low,Personal,CA,94909
82727403-c3df-2d7a-8a1b-3e9d4588c0b9,47a37f1a-b6e6-2156-f30a-0c390389e388,JU9XZWS5BY41WEG4H,Ford,Focus,2008,SUV,Low,Personal,CA,94716
278ad745-1c3d-31f1-8b0b-38299d6159b5,d5203ee3-be32-fd09-89ed-6cecea8ff10f,RGNFJRW297AHDSHXA,Chevrolet,Trax,2012,Sedan,Medium,Personal,OR,97210
48d07665-4c1a-b18f-c854-602fe332a2a1,37e1e765-199e-a76c-c7c7-a36e765438f5,MC4E5C507X86VGG5G,Ford,Focus,2014,SUV,Low,Personal,AZ,85195
6fed93b1-7068-17bb-3c3b-88af660fcc33,f245d89e-ea44-c136-0123-5840578e8b7b,UUCV7WA7GLW40AGR3,Chevrolet,Trax,2020,SUV,Low,Personal,AZ,85055
e181c3fd-5bf5-b6af-db59-4fba96d15217,dba4daf8-f904-2c88-f19c-1b85d7f966a7,YAVDP9YZ0G0W120Z8,Chevrolet,Trax,2023,Sedan,Low,Personal,NV,89131
8620a21e-d870-6423-5995-92ffbaca0d79,d871650f-2e6d-be2b-5ba1-8f8b69ce4c27,3F2BY6BCK0K4ZG934,Ford,Focus,2020,SUV,Low,Personal,NV,88968
5eb1a300-9e82-f37b-8fed-d75719a119dd,a7aa9ca6-b543-012e-f57e-fddce7e152c6,Z7333WABTG12HKYA0,Toyota,RAV4,2015,SUV,High,Commercial,NV,88929
c199816a-c9b3-d314-1cce-5f9b4f907f50,377938b5-6429-001a-773d-58e60202c3ca,7BX7D955CN94BMMAB,Chevrolet,Equinox,2013,SUV,Medium,Personal,NV,88915
